OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587735348015464808,131.91200,8.7462000,0.16345200,2.9272200e-05,10.491000,1.47955,18.302200,16.904800,16.399400,16.365100,16.081000,-20.194000,-21.552500,-22.063700,-22.080900,-22.353000,1.1382300,96.241800,13.669700,1.3734700,0.017356500,9.5427200,4.3396900,4.9788400,3.8244300,14.778800,3.0762200,23.784800,3.3986100,7.78060,3.00093,24.167600,3.1067800,0.60880700,2.41536e+27
587735349109588110,179.15000,15.353400,0.081963000,1.2010500e-05,10.425400,1.15379,18.279700,16.768800,16.112000,15.820400,15.526200,-18.598300,-20.072800,-20.736500,-21.011600,-21.294000,2.4724300,97.526800,18.869900,1.4297800,0.039230300,12.786800,3.6437900,8.7081300,2.2928300,27.428200,2.2414100,132.72500,2.9232800,3.05790,2.45775,65.736600,2.4605400,2.2865800,1.14876e+27
588017567634882635,179.29400,13.475000,0.070645100,6.0314900e-06,10.032800,8.86141,18.509800,17.217500,16.553400,16.160100,16.022400,-18.044500,-19.290700,-19.957100,-20.332100,-20.457200,1.1718800,106.47100,13.253000,1.3104400,0.017735600,63.284000,5.6871900,47.361200,3.4487000,123.92000,3.6671900,772.15000,7.9489500,19.8618,3.21678,316.78700,4.7333900,2.8328700,9.82398e+26
587735348036305083,180.30100,14.724700,0.10795600,1.2595100e-05,10.861400,2.82091,18.220100,16.610600,16.009700,15.816600,15.386900,-19.307300,-20.872700,-21.476800,-21.651900,-22.069100,2.9948100,159.33200,15.220500,1.4166900,0.029901500,22.405000,3.8765700,20.868800,2.5249200,29.492200,2.3497500,148.35000,5.0149500,5.00270,2.54973,61.575800,2.7628700,3.3539600,1.53984e+27
587735349646852161,180.03300,15.853000,0.054571200,8.7481500e-06,10.350400,1.31737,17.635500,16.373000,15.686200,15.334700,14.899700,-18.314600,-19.542300,-20.236800,-20.572200,-20.995500,2.4990400,81.001500,12.102500,1.4095000,0.032945100,22.222900,4.4795200,8.1437900,2.5805300,50.145100,2.7534400,255.11800,4.1908600,10.1361,2.78403,102.74300,3.2573200,2.3358300,7.50302e+26
587738569776496862,183.23700,15.285000,0.14113200,1.4043800e-05,10.540400,1.41915,18.258100,16.753800,16.211200,16.136000,15.858100,-19.899600,-21.358600,-21.903900,-21.960900,-22.226300,0.69991700,129.20100,9.6751400,1.3596500,0.010747400,44.273300,5.7613200,195.99400,5.5909900,36.181200,3.3249300,123.57000,4.4263200,6.62162,2.98136,170.62800,4.4361200,3.3052700,2.05675e+27
587735347501072399,184.09500,14.298100,0.081827900,1.0079400e-05,10.357600,10.2428,17.208100,15.911000,15.389500,15.238900,15.035700,-19.680300,-20.932500,-21.456900,-21.589400,-21.780100,0.98415200,850.00000,-3.0000000,1.2263100,0.0074824700,242.81300,15.830200,2466.8400,19.864400,178.87500,6.6588900,1185.8700,12.564200,-63.3707,5.23117,977.78900,10.310300,0.71675000,1.14676e+27
587735348039647344,188.11600,14.627000,0.15407800,2.9746400e-05,10.637800,0.810585,18.610800,17.110500,16.525100,16.345300,16.140400,-19.751700,-21.209000,-21.798000,-21.960000,-22.152400,1.7033400,126.20900,12.474200,1.4926300,0.028378000,26.231800,4.8408500,7.5562300,3.1744200,10.785500,2.6541500,63.101700,3.3083700,4.15394,2.60450,38.094800,4.2539600,2.2476300,2.26371e+27
587735347504087183,191.24500,14.105100,0.22767300,3.8536700e-05,10.901700,2.83241,18.349300,17.083500,16.554800,16.406500,16.186300,-20.961600,-22.180200,-22.710700,-22.840500,-23.048000,1.2643100,135.70600,13.891800,1.3864000,0.017232500,8.7514600,2.8430000,5.6321200,2.3113000,0.32663400,2.3648400,15.441900,3.4007100,-3.01702,2.09065,17.290600,2.9870700,1.8333900,3.49368e+27
587738568168570914,189.53500,14.034300,0.046110200,5.8885600e-06,9.9486900,0.336700,17.180900,15.995600,15.456900,15.230300,15.084900,-18.408400,-19.548100,-20.089300,-20.297700,-20.430600,3.6477400,105.68000,15.843700,1.3211500,0.025635300,103.59000,6.5911000,79.884500,2.9363700,79.828600,2.7333100,330.06100,4.9586700,19.7219,2.95087,72.214800,2.3895700,1.3961500,6.30125e+26
