OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587726015626019008,226.18369,2.2290642,0.11294539,4.31025e-05,10.920386,0.177142,18.311800,16.661900,15.906900,15.552000,15.341700,-19.311700,-20.923000,-21.683700,-22.021600,-22.220000,2.0543900,167.650,18.6981,1.93682,0.0872567,24.2191,10.4258,15.4620,6.87736,0.111920,2.48597,16.8278,3.16875,1.90696,3.63721,32.9563,4.91768,2.39406,1.61632e+27
588848900457431228,198.08875,0.30792388,0.040456191,5.54479e-06,9.1054649,0.882515,16.842800,16.129600,15.889100,15.866400,15.760900,-18.454100,-19.121200,-19.364100,-19.368500,-19.461500,2.6553700,69.9493,16.1905,1.13986,0.0172732,324.025,7.39979,530.902,5.50418,219.564,3.47203,732.412,5.93037,62.2581,3.04299,73.0005,1.75301,0.556974,5.50593e+26
587738616491737136,178.26077,37.082428,0.036002379,1.28438e-05,9.1504707,0.444993,17.375100,16.033200,15.739200,15.801800,15.952300,-17.663600,-18.957600,-19.253200,-19.172100,-19.009000,5.0978200,20.6765,32.5448,1.30140,0.0476179,28.4225,4.04447,12.6131,1.73457,17.8402,1.62291,58.6175,1.80597,2.74307,1.88324,15.6142,1.29107,0.251473,4.88384e+26
587733609621815560,235.27171,48.608391,0.12840037,7.60809e-06,10.495220,7.59855,17.117600,16.155500,15.806900,15.784000,15.672300,-20.820500,-21.734300,-22.084300,-22.088700,-22.187900,3.6368500,68.1057,26.3618,1.21504,0.0233159,29.7927,2.99654,19.0824,2.30194,55.0678,2.41663,229.594,3.90624,15.2588,2.07230,76.6048,2.42479,1.06780,1.85607e+27
587733399187095802,252.32442,29.544050,0.13957293,1.25301e-05,10.541384,3.61204,18.085200,16.896300,16.407000,16.210200,15.946700,-20.042000,-21.188300,-21.681500,-21.860600,-22.111800,2.0344500,127.289,18.9042,1.31906,0.0281020,65.6962,5.53431,24.2892,3.12019,56.7205,3.07507,208.769,4.08939,8.31694,2.91865,75.9604,2.81593,2.31734,2.03202e+27
587735694839119985,208.66560,54.029671,0.068384022,3.25551e-05,10.198687,0.0835242,18.147600,17.064200,16.311600,15.985600,15.717700,-18.334800,-19.369800,-20.123800,-20.431300,-20.686700,2.4295200,52.6522,11.3422,1.88770,0.0911045,5.70844,4.67558,0.671872,1.86262,-2.83307,1.63605,3.03766,1.39508,0.209550,2.17249,1.30309,1.39147,2.59272,9.49452e+26
587726033864097995,191.34045,3.3441050,0.15882012,3.24772e-05,11.012800,0.288214,18.209900,17.119300,16.325300,15.966200,15.747200,-20.230500,-21.274200,-22.070100,-22.410800,-22.617200,1.6834400,199.436,13.0638,1.91850,0.0466903,-2.48201,6.09295,9.78934,3.75703,6.82999,3.32065,20.5777,6.49525,4.49671,3.07660,11.8937,4.24344,3.05990,2.34024e+27
587729386083582060,203.46123,57.908646,0.12243413,2.11639e-05,10.605932,0.0759795,19.035000,17.272700,16.552600,16.223700,15.954700,-18.790400,-20.504700,-21.226300,-21.536700,-21.793300,1.4568300,120.610,7.19608,1.79734,0.0358647,8.47297,3.96939,6.45613,2.33932,2.54282,1.85347,13.3002,7.51417,0.0226049,1.65993,4.24925,2.14175,2.48920,1.76301e+27
587739406259191998,221.77196,28.525539,0.12409261,8.14309e-06,10.513777,8.62470,18.532200,17.257600,16.626700,16.332800,16.087300,-19.325600,-20.552300,-21.184600,-21.460100,-21.693000,1.1997300,135.897,10.9540,1.26325,0.0167381,37.1731,3.72763,16.9708,2.26117,62.5551,2.52852,339.183,4.08590,9.35850,2.08066,176.196,3.06401,2.53806,1.78881e+27
587739720827535416,194.38664,29.797785,0.14157087,1.40457e-05,10.462590,2.79363,18.141000,17.012400,16.522200,16.363700,16.199100,-20.027100,-21.107300,-21.598900,-21.739000,-21.891100,3.1371100,46.2909,21.3709,1.31599,0.0392346,12.1896,2.33517,1.02339,1.83252,19.2792,1.81219,85.0955,2.31509,3.28466,1.67841,30.7217,1.89573,1.68119,2.06371e+27
